,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,reviews_per_month,bathrooms_quantity,wifi,tv,hot_water,kitchen,pets_allowed,free_parking,pool,bathroom_is_shared,bathrooms_type,price_range
19999,t,t,Leblon,-22.98181,-43.2237,Entire rental unit,Entire home/apt,4,2 baths,1.0,2.0,313.0,2,90,18,t,1.82,2.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
20001,f,f,Copacabana,-22.96445,-43.19204,Entire rental unit,Entire home/apt,5,2 baths,2.0,2.0,356.0,3,30,0,f,0.0,2.0,1,1,1,1,0,1,0,0,bath,\$251 - \$500
20002,f,t,Ipanema,-22.98522,-43.21154,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,267.0,2,1125,11,f,1.18,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
20003,f,t,Botafogo,-22.95577,-43.17716,Entire rental unit,Entire home/apt,6,3 baths,3.0,4.0,453.0,1,365,9,t,1.09,3.0,1,1,0,1,0,1,1,0,bath,\$251 - \$500
20004,f,f,Recreio dos Bandeirantes,-23.0221,-43.48871,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,180.0,1,365,0,f,0.0,1.0,1,1,1,1,0,0,1,1,shared bath,\$100 - \$250
20005,f,t,Botafogo,-22.94635,-43.18996,Entire rental unit,Entire home/apt,3,1.5 baths,1.0,2.0,150.0,3,1125,1,f,0.1,1.5,1,1,0,1,0,1,1,0,bath,\$100 - \$250
20007,t,t,Ipanema,-22.98529,-43.20944,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,900.0,4,365,1,f,0.12,2.0,1,1,1,1,0,1,1,0,bath,\$750 - \$100
20008,f,t,Vargem Pequena,-22.98346,-43.45405,Private room in earth house,Private room,2,1 private bath,1.0,1.0,90.0,1,6,0,t,0.0,1.0,1,0,0,1,0,1,0,0,bath,< \$100
20009,f,f,Flamengo,-22.93154,-43.17412,Private room in rental unit,Private room,1,1 private bath,1.0,2.0,88.0,5,365,0,f,0.0,1.0,1,1,1,1,0,0,0,0,bath,< \$100
20010,f,t,Ipanema,-22.9831,-43.20483,Private room in rental unit,Private room,2,2 baths,1.0,1.0,106.0,2,1125,2,t,1.22,2.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20011,t,t,Copacabana,-22.96522,-43.19201,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,257.0,1,365,9,t,1.07,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
20012,f,t,Santa Teresa,-22.9187,-43.18667,Private room in rental unit,Private room,3,1 shared bath,1.0,2.0,60.0,1,1125,5,t,0.5,1.0,1,0,1,1,0,0,0,1,shared bath,< \$100
20013,t,t,Copacabana,-22.97949,-43.18953,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,180.0,3,1125,5,t,0.51,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20014,f,t,Leme,-22.96244,-43.1711,Entire rental unit,Entire home/apt,4,1.5 baths,1.0,2.0,337.0,3,365,0,f,0.0,1.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
20015,f,f,Ipanema,-22.98419,-43.20903,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,130.0,4,90,3,f,0.32,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20016,t,t,Copacabana,-22.96461,-43.17834,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,141.0,1,1125,20,t,2.01,1.0,0,1,1,1,0,0,0,0,bath,\$100 - \$250
20017,t,f,Freguesia (Jacarepaguá),-22.94032,-43.34099,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,115.0,3,1125,5,t,0.77,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
20018,f,t,Ipanema,-22.98473,-43.20815,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,429.0,2,90,0,f,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20019,f,t,Copacabana,-22.97078,-43.18574,Entire loft,Entire home/apt,4,1 bath,1.0,2.0,141.0,2,1125,0,f,0.0,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20020,f,f,Ipanema,-22.98461,-43.19536,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,500.0,2,20,0,t,0.0,2.0,1,1,1,1,0,0,1,0,bath,\$251 - \$500
20021,f,f,Recreio dos Bandeirantes,-23.02614,-43.48478,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,173.0,1,1125,16,t,1.62,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20022,t,t,Centro,-22.91412,-43.18292,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,80.0,3,1125,14,f,1.66,1.0,0,1,1,1,0,0,0,0,bath,< \$100
20023,f,t,Leme,-22.96324,-43.17156,Entire loft,Entire home/apt,2,1 bath,1.0,2.0,201.0,2,365,3,f,0.36,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
20024,f,t,Copacabana,-22.97325,-43.18564,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,323.0,2,22,1,f,0.6,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
20025,f,t,Copacabana,-22.96418,-43.17752,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,227.0,1,1125,0,t,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
20026,f,t,Copacabana,-22.96262,-43.17608,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,227.0,1,1125,3,t,3.0,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
20027,f,t,Copacabana,-22.96161,-43.17378,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,259.0,1,1125,1,t,0.21,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
